Altium Designer Pick and Place Locations
C:\Users\matt\Dropbox\Ventilator Shit\PCB\sensor_module\pcb\Project Outputs for pressure_airspeed\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       02/04/20
Time:       00:34
Revision:   a4dad2c2748defad869cde8198b1a70d3d3c8915
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C3","CAPC1005X55X25ML05T10","118.1100","125.7300","118.1100","125.7300","118.6000","125.7300","TopLayer","180","1uF"
"R7","RESC1005X40X25ML05T10","118.1100","124.4600","118.1100","124.4600","118.5850","124.4600","TopLayer","180","100K 1%"
"Q1","INF-SOT23_N","121.9200","124.4600","121.9200","124.4600","123.0700","123.5100","TopLayer","180","SMBT2907A"
"J1","613006243121","129.5400","124.4600","129.5400","131.3400","132.0800","125.7300","TopLayer","180","613006243121"
"R6","RESC1005X40X25NL05T05","118.1100","123.1900","118.1100","123.1900","118.5600","123.1900","TopLayer","180","2K 1%"
"R2","RESC1005X40X25ML05T10","118.5250","121.5000","118.5250","121.5000","119.0000","121.5000","TopLayer","180","10M 1%"
"R5","RESC1005X40X25ML05T10","122.2500","120.7500","122.2500","120.7500","121.7750","120.7500","TopLayer","360","75K 0.1%"
"C4","CAPC1005X55X25ML05T10","133.3500","120.6500","133.3500","120.6500","133.3500","121.1400","TopLayer","270","GRM155R71C104KA88D"
"U3","SOIC-SN8_L","128.5000","119.7500","128.5000","119.7500","130.8500","117.8450","TopLayer","180","24C02CT-I/SN"
"C2","CAPC1005X55X25ML05T10","122.2500","119.5000","122.2500","119.5000","121.7600","119.5000","TopLayer","360","100nF"
"U2","DBV0005A_L","118.7500","118.5000","118.7500","118.5000","117.8000","117.2250","TopLayer","90","TLV2471IDBVT"
"R4","RESC1005X40X25ML05T10","122.2500","118.2500","122.2500","118.2500","122.7250","118.2500","TopLayer","180","2K 0.1%"
"C1","CAPC1005X55X25ML05T10","124.4600","117.6200","124.4600","117.6200","124.4600","118.1100","TopLayer","270","GRM155R71C104KA88D"
"R3","RESC1005X40X25ML05T10","122.2500","117.2500","122.2500","117.2500","122.7250","117.2500","TopLayer","180","2R21 0.1%"
"U1","HP203B","123.2500","112.0000","123.2500","112.0000","124.3300","110.6500","TopLayer","180","HP203B"
"R1","RESC1005X40X25NL05T05","121.7500","105.2500","121.7500","105.2500","121.7500","105.7000","TopLayer","270","NTC470, B=3380"
