Altium Designer Pick and Place Locations
C:\Users\matt\Dropbox\Ventilator Shit\PCB\sensor_module\pcb\Project Outputs for pressure_airspeed\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       05/04/20
Time:       00:28
Revision:   00b124764b2c181f8a8416d70908b96a0ceaff12
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"P1","HDR2X4","-10.0000","24.2700","-13.8100","23.0000","-13.8100","23.0000","TopLayer","360","Header 4X2"
"C5","CAPC0805(2012)145_N","-16.9000","19.4000","-16.9000","19.4000","-16.9000","18.5000","TopLayer","90","CAP 10uF 10V 0805(2012)"
"R8","RESC0603(1608)_L","-6.0000","18.5550","-6.0000","18.5550","-5.3000","18.5550","TopLayer","180","120R 5% 0603(1608)"
"R11","RESC0603(1608)_L","-3.4000","18.5000","-3.4000","18.5000","-4.1000","18.5000","TopLayer","360","120R 5% 0603(1608)"
"U6","DCY0004A_L","-11.9000","18.1000","-11.9000","18.1000","-14.9750","20.4000","TopLayer","360","LM2940IMP-9.0/NOPB"
"U4","ADI-R-8_L","-4.9000","13.9000","-4.9000","13.9000","-6.8050","11.5500","TopLayer","90","ADM3488ARZ"
"U5","MCHP-SOT-23-M5_V","-12.8250","12.9750","-12.8250","12.9750","-14.1250","13.9250","TopLayer","360","MIC5504-3.3YM5-TR"
"C6","CAPC0805(2012)145_N","-16.9000","12.9500","-16.9000","12.9500","-16.9000","13.8500","TopLayer","270","CAP 10uF 10V 0805(2012)"
"C7","CAPC0805(2012)145_N","-9.7000","12.9000","-9.7000","12.9000","-9.7000","12.0000","TopLayer","90","CAP 10uF 10V 0805(2012)"
"R6","RESC1005X40X25NL05T05","-16.4250","9.2750","-16.4250","9.2750","-15.9750","9.2750","TopLayer","180","2K 1%"
"Q1","INF-SOT23_N","-13.2750","9.0000","-13.2750","9.0000","-12.3250","10.1500","TopLayer","270","SMBT2907A"
"R2","RESC1005X40X25ML05T10","-16.4000","7.8750","-16.4000","7.8750","-16.8750","7.8750","TopLayer","360","10M 1%"
"C4","CAPC1005X55X25ML05T10","-10.2750","6.8250","-10.2750","6.8250","-10.2750","7.3150","TopLayer","270","GRM155R71C104KA88D"
"U3","STM-TSSOP20_L","-5.7500","6.7750","-5.7500","6.7750","-2.9500","3.8500","TopLayer","180","STM32F030F4P6"
"J1","1.27mm_2x5_SMD_Header_-_no_paste","-5.0000","6.7000","-5.0000","6.7000","-6.9500","4.1600","BottomLayer","90","ARM Cortex JTAG"
"C2","CAPC1005X55X25ML05T10","-16.4000","6.5750","-16.4000","6.5750","-16.8900","6.5750","TopLayer","360","100nF"
"R5","RESC1005X40X25ML05T10","-12.9750","6.4000","-12.9750","6.4000","-12.5000","6.4000","TopLayer","180","75K 0.1%"
"C3","CAPC1005X55X25ML05T10","-13.0000","5.2500","-13.0000","5.2500","-12.5100","5.2500","TopLayer","180","1uF"
"R4","RESC1005X40X25ML05T10","-13.0500","3.9500","-13.0500","3.9500","-13.5250","3.9500","TopLayer","360","2K 0.1%"
"U2","DBV0005A_L","-16.0000","3.8250","-16.0000","3.8250","-16.9500","2.5500","TopLayer","90","TLV2471IDBVT"
"R10","RESC0402(1005)_N","-2.8500","2.7500","-2.8500","2.7500","-2.3500","2.7500","TopLayer","180","10K 5% 0402(1005)"
"R3","RESC1005X40X25ML05T10","-13.0750","2.6500","-13.0750","2.6500","-13.5500","2.6500","TopLayer","360","2R21 0.1%"
"R12","RESC0402(1005)_N","-7.5000","1.8000","-7.5000","1.8000","-8.0000","1.8000","TopLayer","360","2K2 5% 0402(1005)"
"R9","RESC0402(1005)_N","-2.8500","1.6250","-2.8500","1.6250","-3.3500","1.6250","TopLayer","360","10K 5% 0402(1005)"
"R7","RESC1005X40X25ML05T10","-16.3250","1.0750","-16.3250","1.0750","-16.8000","1.0750","TopLayer","360","100K 1%"
"R13","RESC0402(1005)_N","-7.4750","0.7750","-7.4750","0.7750","-7.9750","0.7750","TopLayer","360","2K2 5% 0402(1005)"
"C1","CAPC1005X55X25ML05T10","-7.6500","-0.8000","-7.6500","-0.8000","-7.1600","-0.8000","TopLayer","180","GRM155R71C104KA88D"
"U1","HP203B","-8.2700","-3.5000","-8.2700","-3.5000","-7.1900","-4.8500","TopLayer","180","HP203B"
"R1","RESC1005X40X25NL05T05","-14.0500","-10.8000","-14.0500","-10.8000","-14.0500","-10.3500","TopLayer","270","NTC470, B=3380"
