Altium Designer Pick and Place Locations
C:\Users\matt\Dropbox\Ventilator Shit\PCB\sensor_module\sensor_to_uart\Project Outputs for sensor_to_uart\Pick Place\Pick Place for PCB3.csv

========================================================================================================================
File Design Information:

Date:       07/04/20
Time:       19:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C1","CAPC1005X55X25ML05T10","16.0100","26.5000","16.0100","26.5000","16.5000","26.5000","TopLayer","180","GRM155R71C104KA88D"
"R1","RESC0603(1608)_L","22.5000","24.5000","22.5000","24.5000","22.5000","23.8000","TopLayer","90","120R 5% 0603(1608)"
"U1","ADI-R-8_L","17.5000","22.5000","17.5000","22.5000","15.1500","24.4050","TopLayer","360","ADM3488ARZ"
"J1","RJ45_59_8P8C_LED","35.0850","22.5000","37.5000","22.5000","31.1500","18.0550","TopLayer","90","RJ45_59_8P8C_LED"
"R2","RESC0603(1608)_L","22.5000","20.8000","22.5000","20.8000","22.5000","21.5000","TopLayer","270","120R 5% 0603(1608)"
"FTDI","HDR1X6","2.5000","16.2700","2.5000","22.6200","2.5000","22.6200","TopLayer","270","Header 6"
"C2","CAPC0805(2012)145_N","11.5000","12.5000","11.5000","12.5000","12.4000","12.5000","TopLayer","180","CAP 10uF 10V 0805(2012)"
"F1","SEAANDLAND_1812","29.5000","9.5000","29.5000","9.5000","31.9900","9.5000","TopLayer","180","mSMD110-33V"
"U2","SOT-223_N","13.5000","6.5000","13.5000","6.5000","16.4000","4.2000","TopLayer","180","LD1117S33CTR"
"C3","CAPC1210(3225)190_N","20.5000","6.5000","20.5000","6.5000","20.5000","5.0000","TopLayer","90","CAP 10uF 50V 1210(3225)"
"J2","DC-044A-2.5A-2.0","39.8500","6.2500","46.6000","7.5000","36.1000","10.9000","TopLayer","270","DC-044A-2.5A-2.0"
"D1","ONSC-SMA-2-403D-02_V","29.5000","4.5000","29.5000","4.5000","27.5000","4.5000","TopLayer","360","MURA110T3G"
