Altium Designer Pick and Place Locations
C:\Users\matt\Other-Repos\sensor_module\sensor_to_uart\Project Outputs for sensor_to_uart\Pick Place\Pick Place for sensor_to_uart.csv

========================================================================================================================
File Design Information:

Date:       14/04/20
Time:       21:52
Revision:   5d33240493cc8502439cb625d2971cb90d2ee2c5
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C1","CAPC1005X55X25ML05T10","12.7350","26.3750","12.7350","26.3750","13.2250","26.3750","TopLayer","180","GRM155R71C104KA88D"
"R2","RESC0603(1608)_L","24.7500","26.2500","24.7500","26.2500","24.7500","26.9500","TopLayer","270","100R"
"R1","RESC0603(1608)_L","22.7500","26.2500","22.7500","26.2500","22.7500","26.9500","TopLayer","270","10k"
"R3","RESC0603(1608)_L","22.7500","23.5000","22.7500","23.5000","22.7500","24.2000","TopLayer","270","10k"
"C4","CAPC1005X55X25ML05T10","24.7500","23.5000","24.7500","23.5000","24.7500","23.0100","TopLayer","90","TBD"
"J1","RJ45_59_8P8C_LED","35.0850","22.5000","37.5000","22.5000","31.1500","18.0550","TopLayer","90","RJ45_59_8P8C_LED"
"U1","ADI-R-8_L","14.2250","22.3750","14.2250","22.3750","11.8750","24.2800","TopLayer","360","ADM3488ARZ"
"R9","RESC0603(1608)_L","21.2500","20.2500","21.2500","20.2500","21.2500","19.5500","TopLayer","90","10k"
"R7","RESC0603(1608)_L","23.0000","20.2500","23.0000","20.2500","23.0000","20.9500","TopLayer","270","50R"
"C5","CAPC1005X55X25ML05T10","24.7500","20.2500","24.7500","20.2500","24.7500","20.7400","TopLayer","270","TBD"
"R6","RESC0603(1608)_L","24.7500","17.2500","24.7500","17.2500","24.7500","16.5500","TopLayer","90","100R"
"R5","RESC0603(1608)_L","23.0000","17.2500","23.0000","17.2500","23.0000","16.5500","TopLayer","90","50R"
"R4","RESC0603(1608)_L","21.2500","17.2500","21.2500","17.2500","21.2500","16.5500","TopLayer","90","10k"
"FTDI","HDR1X6","2.5000","16.2700","2.5000","22.6200","2.5000","22.6200","TopLayer","270","Header 6"
"C2","CAPC0805(2012)145_N","11.5000","12.5000","11.5000","12.5000","12.4000","12.5000","TopLayer","180","CAP 10uF 10V 0805(2012)"
"F1","SEAANDLAND_1812","29.5000","9.5000","29.5000","9.5000","31.9900","9.5000","TopLayer","180","mSMD110-33V"
"U2","SOT-223_N","13.5000","6.5000","13.5000","6.5000","16.4000","4.2000","TopLayer","180","LD1117S33CTR"
"C3","CAPC0805(2012)145_N","20.5000","6.5000","20.5000","6.5000","20.5000","5.6000","TopLayer","90","CAP 10uF 10V 0805(2012)"
"J2","DC-044A-2.5A-2.0","39.8500","6.2500","46.6000","7.5000","36.1000","10.9000","TopLayer","270","DC-044A-2.5A-2.0"
"D1","ONSC-SMA-2-403D-02_V","29.5000","4.5000","29.5000","4.5000","27.5000","4.5000","TopLayer","360","MURA110T3G"
