Altium Designer Pick and Place Locations
C:\Users\matt\Other-Repos\sensor_module\pcb\Project Outputs for sensor_module\Pick Place\Pick Place for sensor_module.csv

========================================================================================================================
File Design Information:

Date:       14/04/20
Time:       11:39
Revision:   d6acdda8f537d3e36434a3946c3f78e90ade0b82
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"P1","HDR2X4","-10.0000","29.2700","-13.8100","28.0000","-13.8100","28.0000","TopLayer","360","Header 4X2"
"F1","SEAANDLAND_1206","-10.9000","25.3000","-10.9000","25.3000","-9.4000","25.3000","TopLayer","180","nSMD020-30V"
"C5","CAPC0805(2012)145_N","-15.1000","25.3000","-15.1000","25.3000","-16.0000","25.3000","TopLayer","360","CAP 10uF 10V 0805(2012)"
"D2","STM-SOT23-6L_V","-6.4000","24.8000","-6.4000","24.8000","-5.2500","23.8500","TopLayer","180","DALC208SC6"
"R11","RESC1005X40X25ML05T10","-6.3250","22.5250","-6.3250","22.5250","-5.8500","22.5250","TopLayer","180","50"
"R8","RESC1005X40X25ML05T10","-4.1250","22.5250","-4.1250","22.5250","-4.6000","22.5250","TopLayer","360","50"
"U6","DCY0004A_L","-12.9000","20.6000","-12.9000","20.6000","-15.9750","22.9000","TopLayer","360","LM2940IMP-9.0/NOPB"
"U4","ADI-R-8_L","-5.8000","18.4000","-5.8000","18.4000","-7.7050","16.0500","TopLayer","90","ADM3488ARZ"
"U5","MCHP-SOT-23-M5_V","-13.1000","15.0000","-13.1000","15.0000","-12.1500","16.3000","TopLayer","270","MIC5504-3.3YM5-TR"
"C7","CAPC0805(2012)145_N","-10.3000","15.0000","-10.3000","15.0000","-10.3000","15.9000","TopLayer","270","CAP 10uF 10V 0805(2012)"
"C6","CAPC0805(2012)145_N","-15.8980","14.9460","-15.8980","14.9460","-15.8980","14.0460","TopLayer","90","CAP 10uF 10V 0805(2012)"
"C11","CAPC1005X55X25ML05T10","-6.8000","14.3000","-6.8000","14.3000","-6.3100","14.3000","TopLayer","180","10nF"
"R10","RESC0402(1005)_N","-3.5000","13.8000","-3.5000","13.8000","-3.5000","13.3000","TopLayer","90","10K 5% 0402(1005)"
"R9","RESC0402(1005)_N","-4.6000","13.8000","-4.6000","13.8000","-4.6000","14.3000","TopLayer","270","10K 5% 0402(1005)"
"C8","CAPC1005X55X25ML05T10","-6.8000","13.1000","-6.8000","13.1000","-7.2900","13.1000","TopLayer","360","1uF"
"Q1","ONSC-SOT-23-3-318-08_V","-11.9750","11.3750","-11.9750","11.3750","-12.9250","10.3750","TopLayer","90","MMBT3904LT1G"
"R6","RESC1005X40X25NL05T05","-15.1500","11.2750","-15.1500","11.2750","-14.7000","11.2750","TopLayer","180","2K 1%"
"R2","RESC1005X40X25ML05T10","-15.1250","9.8750","-15.1250","9.8750","-15.6000","9.8750","TopLayer","360","10M 1%"
"J1","1.27mm_2x5_SMD_Header_-_no_paste","-6.5000","9.2500","-6.5000","9.2500","-8.4500","6.7100","BottomLayer","90","ARM Cortex JTAG"
"U3","STM-TSSOP20_L","-6.5000","8.7500","-6.5000","8.7500","-3.5750","11.5500","TopLayer","270","STM32F030F4P6"
"C2","CAPC1005X55X25ML05T10","-15.1250","8.5750","-15.1250","8.5750","-15.6150","8.5750","TopLayer","360","100nF"
"R5","RESC1005X40X25ML05T10","-11.7250","7.4000","-11.7250","7.4000","-11.2500","7.4000","TopLayer","180","75K 0.1%"
"C9","CAPC1005X55X25ML05T10","-15.5000","7.2000","-15.5000","7.2000","-15.0100","7.2000","TopLayer","180","GRM155R71C104KA88D"
"C3","CAPC1005X55X25ML05T10","-11.7500","6.2500","-11.7500","6.2500","-11.2600","6.2500","TopLayer","180","1uF"
"R4","RESC1005X40X25ML05T10","-11.8000","4.9500","-11.8000","4.9500","-12.2750","4.9500","TopLayer","360","2K 0.1%"
"U2","DBV0005A_L","-14.7500","4.8250","-14.7500","4.8250","-15.7000","3.5500","TopLayer","90","TLV2471IDBVT"
"R14","RESC1005X40X25ML05T10","-9.7000","3.8000","-9.7000","3.8000","-9.7000","3.3250","TopLayer","90","TBD"
"C4","CAPC1005X55X25ML05T10","-6.2000","3.8000","-6.2000","3.8000","-6.2000","3.3100","TopLayer","90","GRM155R71C104KA88D"
"C10","CAPC1005X55X25ML05T10","-8.3000","3.7850","-8.3000","3.7850","-8.3000","4.2750","TopLayer","270","TBD"
"R3","RESC1005X40X25ML05T10","-11.8250","3.6500","-11.8250","3.6500","-12.3000","3.6500","TopLayer","360","2R21 0.1%"
"R13","RESC0402(1005)_N","-4.9000","3.5000","-4.9000","3.5000","-4.9000","4.0000","TopLayer","270","2K2 5% 0402(1005)"
"R12","RESC0402(1005)_N","-3.8000","3.5000","-3.8000","3.5000","-3.8000","4.0000","TopLayer","270","2K2 5% 0402(1005)"
"D1","ONSC-SOD-323-2-477-02_V","-8.6000","1.8000","-8.6000","1.8000","-9.7150","1.8000","TopLayer","360","MM3Z3V3T1G"
"R15","RESC1005X40X25ML05T10","-11.3710","1.7790","-11.3710","1.7790","-10.8960","1.7790","TopLayer","180","TBD"
"R7","RESC1005X40X25ML05T10","-15.2000","1.3750","-15.2000","1.3750","-15.6750","1.3750","TopLayer","360","100K 1%"
"R16","RESC1005X40X25ML05T10","-9.0000","0.3000","-9.0000","0.3000","-8.5250","0.3000","TopLayer","180","10k"
"C1","CAPC1005X55X25ML05T10","-9.0000","-1.0000","-9.0000","-1.0000","-9.4900","-1.0000","TopLayer","360","GRM155R71C104KA88D"
"U7","HP203B","-8.3000","-3.5000","-8.3000","-3.5000","-9.3800","-4.8500","BottomLayer","360","HP203B"
"U1","BOSC-BME280-8_V","-8.3000","-4.2000","-8.3000","-4.2000","-7.2750","-3.2250","TopLayer","360","BME280"
"RT1","MURA-NCP18XH103F03RB-2_V","-14.0750","-8.2000","-14.0750","-8.2000","-14.0750","-8.8750","BottomLayer","90","NCP18XH103F03RB"
"R1","MURA-NCP18XH103F03RB-2_V","-14.0500","-10.8000","-14.0500","-10.8000","-14.0500","-10.1250","TopLayer","270","1K NTC"
