Altium Designer Pick and Place Locations
C:\Users\matt\Dropbox\Ventilator Project\PCB\sensor_module\pcb\Project Outputs for sensor_module\Pick Place\Pick Place for sensor_module.csv

========================================================================================================================
File Design Information:

Date:       24/04/20
Time:       11:31
Revision:   b97291a49f3a4bf5e4cd357920a93815eff64f27
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"P1","HDR2X4","8.3304","29.2700","12.1404","28.0000","12.1404","28.0000","BottomLayer","180","Header 4X2"
"F1","SEAANDLAND_1206","4.1000","25.3000","4.1000","25.3000","5.6000","25.3000","TopLayer","180",".1A"
"D2","STM-SOT23-6L_V","12.1000","24.8000","12.1000","24.8000","13.2500","23.8500","TopLayer","180","DALC208SC6"
"C7","CAPC0805(2012)145_N","8.3000","23.4000","8.3000","23.4000","7.4000","23.4000","TopLayer","360","CAP 10uF 10V 0805(2012)"
"R21","RESC0402(1005)_N","4.7750","23.0250","4.7750","23.0250","4.7750","22.5250","TopLayer","90","1%"
"C14","CAPC0402(1005)60_N","3.6750","23.0250","3.6750","23.0250","3.6750","22.5750","TopLayer","90","CAP 33pF 25V 0402(1005)"
"40K2 1%","RESC0402(1005)_N","2.5750","23.0250","2.5750","23.0250","2.5750","23.5250","TopLayer","270","23K7 1% 0402(1005)"
"R11","RESC1005X40X25ML05T10","12.1750","22.5250","12.1750","22.5250","12.6500","22.5250","TopLayer","180","50"
"R8","RESC1005X40X25ML05T10","14.3750","22.5250","14.3750","22.5250","13.9000","22.5250","TopLayer","360","51"
"C13","CAPC0402(1005)60_N","8.1000","21.8000","8.1000","21.8000","7.6500","21.8000","TopLayer","360","CAP 100nF 25V 0402(1005)"
"L1","FNR201610S","8.4000","20.0000","8.4000","20.0000","7.7000","20.0000","TopLayer","360","FNR201610S2R2MT"
"U5","SOT95P280X125-6N","5.3000","19.9000","5.3000","19.9000","6.2500","21.2500","TopLayer","270","BL9352A"
"C5","CAPC0805(2012)145_N","2.5270","19.6710","2.5270","19.6710","2.5270","20.5710","TopLayer","270","CAP 10uF 10V 0805(2012)"
"U4","ADI-R-8_L","12.7000","18.4000","12.7000","18.4000","10.7950","16.0500","TopLayer","90","ADM3488ARZ"
"D3","DIOD-SOD323-2_V","8.6000","18.0000","8.6000","18.0000","9.6550","18.0000","TopLayer","180","ZHCS400TA"
"FB2","MURA-BLM15-CHIP-2_V","2.6500","17.2250","2.6500","17.2250","2.2000","17.2250","TopLayer","360","BLM15PD121SN1D"
"C12","CAPC1005X55X25ML05T10","2.6250","15.9610","2.6250","15.9610","3.1150","15.9610","TopLayer","180","470pF"
"U6","DIOD-SOT23-5_V","5.3500","15.0250","5.3500","15.0250","6.3000","16.3250","TopLayer","270","AP2204K-ADJTRG1"
"R18","RESC0402(1005)_N","2.6250","14.7000","2.6250","14.7000","2.1250","14.7000","TopLayer","360","1200"
"C6","CAPC0805(2012)145_N","8.0500","14.6750","8.0500","14.6750","8.0500","15.5750","TopLayer","270","CAP 10uF 10V 0805(2012)"
"C11","CAPC1005X55X25ML05T10","11.7000","14.2000","11.7000","14.2000","12.1900","14.2000","TopLayer","180","10nF"
"R10","RESC0402(1005)_N","15.0000","13.8000","15.0000","13.8000","15.0000","13.3000","TopLayer","90","10K 5% 0402(1005)"
"R9","RESC0402(1005)_N","13.9000","13.8000","13.9000","13.8000","13.9000","14.3000","TopLayer","270","10K 5% 0402(1005)"
"R17","RESC0402(1005)_N","2.6250","13.5500","2.6250","13.5500","3.1250","13.5500","TopLayer","180","7500"
"C8","CAPC1005X55X25ML05T10","11.7000","13.0000","11.7000","13.0000","11.2100","13.0000","TopLayer","360","1uF"
"Q1","ONSC-SOT-23-3-318-08_V","6.5250","11.3750","6.5250","11.3750","5.5750","10.3750","TopLayer","90","MMBT3904LT1G"
"R6","RESC1005X40X25NL05T05","3.4000","10.8000","3.4000","10.8000","3.8500","10.8000","TopLayer","180","2K 1%"
"R2","RESC1005X40X25ML05T10","3.4000","9.8000","3.4000","9.8000","2.9250","9.8000","TopLayer","360","10M 1%"
"U3","STM-TSSOP20_L","12.0000","8.7500","12.0000","8.7500","14.9250","11.5500","TopLayer","270","STM32F030F4P6"
"C2","CAPC1005X55X25ML05T10","3.4000","8.6000","3.4000","8.6000","2.9100","8.6000","TopLayer","360","100nF"
